,YearMonth,Topic_Label,Article_Count
0,2021-05,"bank, west, israeli, palestinian",5
1,2021-05,"captives, hamas, release, hostages",3
2,2021-05,"hospital, patients, medical, hospitals",3
3,2021-05,"my, her, she, we",4
4,2021-05,"reconstruction, gaza, blockade, qatar",1
5,2021-05,"we, are, to, is",1
6,2021-06,"bank, west, israeli, palestinian",8
7,2021-06,"captives, hamas, release, hostages",1
8,2021-06,"hospital, patients, medical, hospitals",2
9,2021-06,"reconstruction, gaza, blockade, qatar",2
10,2021-07,"bank, west, israeli, palestinian",7
11,2021-07,"captives, hamas, release, hostages",1
12,2021-07,"reconstruction, gaza, blockade, qatar",1
13,2021-07,"rights, human, un, albanese",1
14,2021-08,"bank, west, israeli, palestinian",3
15,2021-08,"my, her, she, we",2
16,2021-08,"reconstruction, gaza, blockade, qatar",3
17,2021-09,"bank, west, israeli, palestinian",5
18,2021-09,"reconstruction, gaza, blockade, qatar",1
19,2021-10,"bank, west, israeli, palestinian",4
20,2021-10,"rights, human, un, albanese",1
21,2021-11,"bank, west, israeli, palestinian",5
22,2021-11,"reconstruction, gaza, blockade, qatar",1
23,2021-12,"bank, west, israeli, palestinian",3
24,2021-12,"my, her, she, we",1
25,2022-01,"bank, west, israeli, palestinian",1
26,2022-02,"bank, west, israeli, palestinian",1
27,2022-03,"bank, west, israeli, palestinian",5
28,2022-04,"bank, west, israeli, palestinian",16
29,2022-04,"my, her, she, we",1
30,2022-05,"bank, west, israeli, palestinian",8
31,2022-05,"my, her, she, we",3
32,2022-05,"reconstruction, gaza, blockade, qatar",1
33,2022-06,"bank, west, israeli, palestinian",7
34,2022-06,"rights, human, un, albanese",1
35,2022-07,"bank, west, israeli, palestinian",5
36,2022-08,"bank, west, israeli, palestinian",6
37,2022-08,"captives, hamas, release, hostages",1
38,2022-08,"my, her, she, we",3
39,2022-08,"rights, human, un, albanese",1
40,2022-09,"bank, west, israeli, palestinian",15
41,2022-09,"iran, iranian, syria, us",1
42,2022-09,"my, her, she, we",2
43,2022-10,"bank, west, israeli, palestinian",14
44,2022-11,"bank, west, israeli, palestinian",9
45,2022-11,"captives, hamas, release, hostages",1
46,2022-11,"my, her, she, we",1
47,2022-12,"bank, west, israeli, palestinian",11
48,2023-01,"bank, west, israeli, palestinian",24
49,2023-01,"my, her, she, we",1
50,2023-01,"rights, human, un, albanese",1
51,2023-01,"we, are, to, is",1
52,2023-02,"bank, west, israeli, palestinian",23
53,2023-02,"my, her, she, we",1
54,2023-03,"bank, west, israeli, palestinian",20
55,2023-04,"bank, west, israeli, palestinian",9
56,2023-04,"insightful, graphics, illustrated, perspectives",1
57,2023-04,"iran, iranian, syria, us",1
58,2023-04,"my, her, she, we",1
59,2023-05,"bank, west, israeli, palestinian",9
60,2023-05,"captives, hamas, release, hostages",1
61,2023-05,"insightful, graphics, illustrated, perspectives",1
62,2023-05,"my, her, she, we",3
63,2023-05,"rights, human, un, albanese",1
64,2023-06,"bank, west, israeli, palestinian",21
65,2023-06,"iran, iranian, syria, us",1
66,2023-06,"my, her, she, we",4
67,2023-07,"bank, west, israeli, palestinian",23
68,2023-07,"insightful, graphics, illustrated, perspectives",1
69,2023-07,"iran, iranian, syria, us",2
70,2023-07,"my, her, she, we",2
71,2023-08,"bank, west, israeli, palestinian",17
72,2023-09,"bank, west, israeli, palestinian",7
73,2023-09,"my, her, she, we",1
74,2023-10,"bank, west, israeli, palestinian",18
75,2023-10,"captives, hamas, release, hostages",19
76,2023-10,"hospital, patients, medical, hospitals",18
77,2023-10,"insightful, graphics, illustrated, perspectives",3
78,2023-10,"iran, iranian, syria, us",20
79,2023-10,"journalists, abc, media, coverage",1
80,2023-10,"my, her, she, we",37
81,2023-10,"rights, human, un, albanese",1
82,2023-10,"we, are, to, is",1
83,2023-11,"bank, west, israeli, palestinian",17
84,2023-11,"captives, hamas, release, hostages",52
85,2023-11,"hospital, patients, medical, hospitals",74
86,2023-11,"insightful, graphics, illustrated, perspectives",2
87,2023-11,"iran, iranian, syria, us",14
88,2023-11,"journalists, abc, media, coverage",4
89,2023-11,"my, her, she, we",29
90,2023-11,"we, are, to, is",2
91,2023-12,"bank, west, israeli, palestinian",15
92,2023-12,"captives, hamas, release, hostages",17
93,2023-12,"hospital, patients, medical, hospitals",8
94,2023-12,"insightful, graphics, illustrated, perspectives",1
95,2023-12,"iran, iranian, syria, us",8
96,2023-12,"journalists, abc, media, coverage",1
97,2023-12,"my, her, she, we",11
98,2023-12,"we, are, to, is",1
99,2024-01,"bank, west, israeli, palestinian",9
100,2024-01,"captives, hamas, release, hostages",13
101,2024-01,"hospital, patients, medical, hospitals",7
102,2024-01,"insightful, graphics, illustrated, perspectives",2
103,2024-01,"iran, iranian, syria, us",15
104,2024-01,"journalists, abc, media, coverage",2
105,2024-01,"my, her, she, we",7
106,2024-01,"we, are, to, is",1
107,2024-02,"bank, west, israeli, palestinian",4
108,2024-02,"captives, hamas, release, hostages",20
109,2024-02,"hospital, patients, medical, hospitals",10
110,2024-02,"iran, iranian, syria, us",13
111,2024-02,"journalists, abc, media, coverage",1
112,2024-02,"my, her, she, we",11
113,2024-02,"rights, human, un, albanese",3
114,2024-02,"we, are, to, is",2
115,2024-03,"bank, west, israeli, palestinian",2
116,2024-03,"captives, hamas, release, hostages",11
117,2024-03,"hospital, patients, medical, hospitals",5
118,2024-03,"iran, iranian, syria, us",4
119,2024-03,"journalists, abc, media, coverage",1
120,2024-03,"my, her, she, we",9
121,2024-03,"reconstruction, gaza, blockade, qatar",1
122,2024-03,"we, are, to, is",1
123,2024-04,"bank, west, israeli, palestinian",3
124,2024-04,"captives, hamas, release, hostages",8
125,2024-04,"hospital, patients, medical, hospitals",3
126,2024-04,"iran, iranian, syria, us",25
127,2024-04,"journalists, abc, media, coverage",1
128,2024-04,"my, her, she, we",2
129,2024-04,"rights, human, un, albanese",1
